net,length_um
io_in[15],6070.51
io_in[14],5815.9
io_in[13],5335.62
io_in[12],4851.66
io_in[11],4372.06
io_in[10],3891.78
io_in[9],3405.98
io_in[8],2939.1
io_oeb[30],206.14
io_oeb[6],203.86
io_out[30],199.34
io_out[6],198.42
io_in[6],192.98
io_oeb[5],186.86
io_out[5],181.42
io_in[5],175.98
io_oeb[4],169.86
io_out[4],164.42
io_oeb[31],161.26
io_in[4],158.98
io_oeb[7],154.9
io_out[31],154.46
io_oeb[3],152.86
io_out[7],148.78
io_out[3],147.42
io_in[7],143.34
io_in[3],141.98
io_out[35],140.86
io_oeb[2],135.86
io_oeb[35],133.38
io_out[2],130.42
io_in[2],124.98
wbs_dat_o[2],124.97
wbs_dat_i[4],120.85
io_out[36],119.78
io_oeb[1],118.86
io_oeb[32],117.06
user_irq[2],115.79
wbs_dat_i[8],114.89
wbs_cyc_i,114.87
user_irq[0],114.53
wbs_adr_i[4],113.83
user_irq[1],113.49
io_out[1],113.42
io_oeb[36],112.98
wb_clk_i,112.59
wb_rst_i,112.59
wbs_ack_o,112.13
wbs_stb_i,111.21
wbs_adr_i[11],110.99
wbs_we_i,110.75
wbs_adr_i[0],110.29
wbs_dat_i[0],110.29
io_out[32],110.26
wbs_sel_i[0],110.05
wbs_dat_o[0],109.83
wbs_adr_i[5],109.38
wbs_sel_i[2],109.35
wbs_adr_i[1],108.91
wbs_sel_i[1],108.89
wbs_dat_i[1],108.45
wbs_dat_o[13],108.45
la_oenb[127],108.21
wbs_dat_o[1],107.99
io_in[1],107.98
wbs_adr_i[10],107.92
wbs_adr_i[2],107.53
wbs_dat_i[2],107.07
la_data_out[120],106.47
la_data_in[126],106.03
wbs_dat_o[4],105.91
wbs_dat_i[5],105.79
wbs_adr_i[3],105.69
la_data_out[127],105.45
wbs_dat_i[16],105.23
wbs_dat_i[3],105.23
wbs_dat_o[5],104.99
la_data_in[127],104.77
wbs_dat_o[3],104.77
wbs_sel_i[3],104.77
wbs_adr_i[6],104.73
la_oenb[126],104.31
la_data_out[126],103.85
la_oenb[125],102.93
wbs_dat_o[7],102.91
la_data_out[125],102.47
wbs_adr_i[7],102.47
wbs_adr_i[8],102.43
la_oenb[121],102.41
la_data_in[125],102.01
la_data_out[124],102.01
la_oenb[124],102.01
io_oeb[0],101.86
wbs_dat_i[6],101.55
la_data_out[121],101.19
la_data_in[124],101.09
wbs_dat_o[6],101.09
la_oenb[122],101.07
la_oenb[123],100.63
wbs_dat_o[8],100.63
la_data_out[122],100.61
la_data_in[120],100.57
wbs_dat_o[10],100.57
la_data_out[123],100.17
wbs_dat_i[7],100.17
la_data_in[117],100.16
la_data_in[123],99.71
wbs_adr_i[9],99.69
la_data_out[113],99.64
io_out[37],99.38
la_data_in[121],99.23
la_data_in[122],98.79
wbs_dat_i[9],97.87
la_data_in[119],97.83
wbs_dat_o[11],97.63
wbs_dat_o[9],97.41
wbs_dat_o[12],97.39
la_data_out[115],97.33
la_oenb[120],96.95
wbs_dat_i[10],96.95
wbs_dat_i[11],96.93
io_out[0],96.42
la_data_out[119],96.03
la_oenb[119],96.03
io_out[34],95.98
la_oenb[117],95.55
la_data_out[117],95.11
wbs_adr_i[13],95.09
wbs_adr_i[12],94.99
la_oenb[118],94.65
wbs_dat_i[12],94.65
la_oenb[116],94.53
la_data_in[118],94.19
la_data_out[118],94.19
wbs_adr_i[14],94.19
la_data_in[115],93.32
la_oenb[115],93.27
wbs_dat_i[13],93.27
la_oenb[110],93.19
la_data_out[116],92.91
la_data_in[116],92.23
io_oeb[37],91.9
wbs_dat_i[14],91.89
wbs_dat_o[14],91.89
wbs_dat_i[17],91.87
la_data_in[114],91.85
wbs_adr_i[15],91.43
la_oenb[112],91.41
la_data_in[112],91
wbs_dat_i[15],90.97
la_data_in[113],90.93
la_oenb[114],90.73
wbs_dat_o[15],90.51
la_data_out[110],90.45
wbs_dat_i[20],90.45
io_in[0],90.3
wbs_dat_o[16],90.15
la_data_out[114],90.05
wbs_adr_i[16],90.05
la_data_out[112],90.01
la_data_out[101],89.37
io_oeb[34],89.18
la_oenb[113],89.13
wbs_adr_i[17],89.13
wbs_adr_i[19],89.01
wbs_dat_o[17],88.89
wbs_dat_o[18],88.67
wbs_dat_i[18],88.65
la_data_in[111],88.55
wbs_adr_i[18],87.75
la_data_out[111],87.39
wbs_adr_i[21],86.93
wbs_adr_i[20],86.81
la_oenb[111],86.37
wbs_dat_i[19],86.37
la_oenb[109],85.91
wbs_dat_i[21],85.91
wbs_dat_o[19],85.91
la_oenb[108],84.99
wbs_dat_o[20],84.99
wbs_dat_o[21],84.97
la_data_out[109],84.75
wbs_dat_o[22],84.75
la_oenb[105],84.59
la_data_in[110],84.53
la_data_in[109],83.61
la_data_out[106],83.59
la_oenb[107],83.59
wbs_dat_o[23],83.49
la_data_out[107],83.15
wbs_adr_i[22],83.15
wbs_dat_i[23],83.15
la_data_out[108],82.69
wbs_dat_i[22],82.69
la_oenb[106],82.33
la_data_in[108],82.23
wbs_adr_i[23],81.77
la_data_in[107],81.31
wbs_adr_i[24],80.85
wbs_dat_o[24],80.85
la_oenb[104],80.73
la_data_in[106],80.39
la_data_out[105],80.39
wbs_dat_i[24],80.39
wbs_dat_o[25],80.37
la_data_in[105],80
wbs_adr_i[25],79.47
la_data_out[102],79.45
la_oenb[102],79.45
la_data_out[104],79.23
wbs_dat_i[25],79.01
wbs_adr_i[26],78.55
wbs_dat_i[26],78.09
la_oenb[101],77.73
la_data_in[104],77.63
wbs_dat_o[26],77.63
la_oenb[103],77.17
wbs_adr_i[27],77.17
la_data_out[103],76.71
wbs_dat_i[27],76.71
wbs_dat_o[28],76.35
la_data_in[103],76.25
wbs_adr_i[28],76.25
wbs_dat_o[27],76.25
wbs_dat_i[28],75.79
la_data_in[102],75.33
wbs_dat_i[31],75.31
la_data_out[0],75.27
wbs_adr_i[29],74.87
